0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0.0,6.0,0.00034064362989738584,0.00035328054218553007,0.0003062144969590008,0.0005214798147790134,0.00030024806619621813,0.0003251554153393954,0.6213328242301941,0.00020998746913392097,0.00035232247319072485,0.0005981450667604804,0.3753596842288971,7.233021733554779e-06,4.664871539716842e-06,8.223063196055591e-05,0.0010170666500926018,3.6399433156475425e-05,0.000355868018232286,0.9984632730484009,4.758410796057433e-06,1.2756922842527274e-05,1.573732151882723e-05,6.0,6.0,1.0,1.0,0.0
1.0,6.0,5.025455720897298e-06,6.9213324422889855e-06,1.0039563676400576e-05,1.347000761597883e-05,6.297703293967061e-06,5.573866019403795e-06,0.9998531341552734,4.036491645820206e-06,5.762383352703182e-06,3.4544127629487775e-06,8.631445962237194e-05,0.00023135585070122033,0.00017361133359372616,0.0012805282603949308,0.00527776125818491,0.0012948557268828154,0.002695876406505704,0.9856095910072327,1.7007349015329964e-05,0.0033454601652920246,7.393766281893477e-05,6.0,6.0,1.0,1.0,0.0
2.0,6.0,4.674676529248245e-05,7.039358752081171e-05,9.44941202760674e-05,0.00013008837413508445,7.717241533100605e-05,5.2300947572803125e-05,0.9978790283203125,4.17142546211835e-05,5.6698827393120155e-05,5.668784797308035e-05,0.0014947057934477925,5.4574688874708954e-06,1.1651845852611586e-06,0.0002214018750237301,6.187405961100012e-05,2.78570569207659e-05,4.812558472622186e-06,0.999670147895813,3.4988292441084923e-07,2.0388888515299186e-06,4.888046532869339e-06,6.0,6.0,1.0,1.0,0.0
3.0,6.0,1.1492638805066235e-05,1.8131242541130632e-05,1.8799912140821107e-05,2.5865590941975825e-05,2.052901436400134e-05,1.1292137969576288e-05,0.9997332692146301,1.0274835403834004e-05,1.102235273719998e-05,9.398768270330038e-06,0.00012993274140171707,4.7593257477274165e-05,9.888430213322863e-05,0.004279696382582188,0.0017690935637801886,0.015422630123794079,0.0004246595490258187,0.9776452779769897,3.179881605319679e-05,5.0438055041013286e-05,0.00022983680537436157,6.0,6.0,1.0,1.0,0.0
4.0,6.0,6.350472540361807e-05,9.171756391879171e-05,8.84180044522509e-05,0.00023119135585147887,0.00010055102029582486,0.00014790744171477854,0.9976644515991211,5.1939412514911965e-05,5.5941858590813354e-05,5.7547200412955135e-05,0.0014468227745965123,1.8911425286205485e-05,6.782195850973949e-05,0.0027334934566169977,0.06309125572443008,0.00012988681555725634,0.021343065425753593,0.9124466776847839,0.00013641195255331695,2.0923320334986784e-05,1.1659483789117076e-05,6.0,6.0,1.0,1.0,0.0
5.0,6.0,3.823667793767527e-05,5.088452235213481e-05,4.331977106630802e-05,8.070407784543931e-05,8.053510100580752e-05,3.03468041238375e-05,0.9989204406738281,2.4622158889542334e-05,3.744364948943257e-05,3.1087383831618354e-05,0.0006623261724598706,1.077564547813381e-06,2.1798967964059557e-07,1.0699469612518442e-06,9.574927389621735e-06,2.7939959181821905e-06,8.554230248591921e-07,0.9999823570251465,4.876671368947427e-07,1.8295227732778585e-07,1.3809049050905742e-06,6.0,6.0,1.0,1.0,0.0
6.0,6.0,3.286576611571945e-05,3.862309313262813e-05,3.9208392990985885e-05,6.666704575764015e-05,4.6383709559449926e-05,3.436569750192575e-05,0.9993165731430054,2.6901032470050268e-05,4.074668322573416e-05,2.6718938897829503e-05,0.0003310027823317796,1.8776246406559949e-06,1.13774540295708e-05,6.761305849067867e-05,0.00041989568853750825,1.4341319001687225e-05,4.111347516300157e-05,0.9994316697120667,1.0968341257466818e-06,5.780606898042606e-06,5.080694336356828e-06,6.0,6.0,1.0,1.0,0.0
7.0,6.0,1.8114853446604684e-05,1.862608769442886e-05,2.1841951820533723e-05,3.3215426810784265e-05,2.2198251826921478e-05,1.6900799892027862e-05,0.9997177720069885,1.1681892829074059e-05,1.7454442058806308e-05,1.644301664782688e-05,0.00010565076081547886,7.17955335858278e-05,2.8130482405686053e-06,0.0013643295969814062,3.572180139599368e-05,0.00016657402738928795,4.040075964439893e-06,0.9983263611793518,2.200696371801314e-06,1.742195490805898e-05,8.822342351777479e-06,6.0,6.0,1.0,1.0,0.0
8.0,6.0,5.55631922907196e-05,0.00010915461461991072,0.00010112408199347556,9.688913996797055e-05,0.00020779175974894315,9.308393782703206e-05,0.99577397108078,6.523304909933358e-05,6.128136010374874e-05,5.505991794052534e-05,0.0033808478619903326,0.00046223890967667103,0.0001924505631905049,0.00208369386382401,0.0002125079627148807,0.0001543933030916378,0.00010355230915592983,0.9964296221733093,0.00021361454855650663,4.557533611659892e-05,0.0001023861113935709,6.0,6.0,1.0,1.0,0.0
9.0,6.0,3.068859950872138e-05,3.0056104151299223e-05,4.595543214236386e-05,4.316138074500486e-05,4.0270522731589153e-05,2.581160151748918e-05,0.9988184571266174,1.607313606655225e-05,1.9036076992051676e-05,1.7174108506878838e-05,0.0009132952545769513,2.627331525673071e-07,1.9559838904115168e-07,1.4913272934791166e-05,2.6715226340456866e-05,0.00013363512698560953,1.63027493726986e-06,0.9998220801353455,5.804501057582456e-08,2.9083105346217053e-07,2.761008772722562e-07,6.0,6.0,1.0,1.0,0.0
